disease,symptoms
Cellulitis,"skin redness, swelling, fever"
Appendicitis,"severe abdominal pain, nausea, fever, loss of appetite"
Eczema,"red rash, dry skin, skin cracking"
Dengue,"high fever, muscle pain, nausea"
Atherosclerosis,"chest pain, fatigue, numbness in limbs"
Hepatitis C,"fatigue, nausea, jaundice"
Measles,"rash, runny nose, red eyes"
Kidney Infection,"back pain, nausea, frequent urination"
Influenza,"fever, chills, cough, headache"
Anemia,"fatigue, weakness, shortness of breath"
Malaria,"fever, sweating, fatigue"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, nasal congestion"
Malaria,"fever, chills, sweating"
Allergic Rhinitis,"runny nose, itchy eyes, nasal congestion, watery eyes"
Bell?s Palsy,"drooping eyelid, loss of facial expression, drooling"
Vertigo,"dizziness, balance problems, head movement sensitivity"
Eczema,"itchy skin, dry skin, skin cracking, skin inflammation"
Heart Attack,"chest pain, shortness of breath, sweating"
Tuberculosis,"night sweats, fever, chest pain"
Chickenpox,"rash, fever, fatigue, headache"
COVID-19,"fever, fatigue, loss of smell, loss of taste, shortness of breath"
Nephritis,"high blood pressure, foamy urine, fatigue, decreased urine output"
Food Poisoning,"vomiting, diarrhea, fever"
Angina,"shortness of breath, fatigue, pressure in chest"
Influenza,"fever, chills, cough, muscle pain, sore throat"
Mumps,"fever, headache, fatigue"
Vertigo,"balance problems, nausea, spinning sensation, head movement sensitivity"
Arrhythmia,"dizziness, fatigue, shortness of breath"
Acne,"redness, skin inflammation, whiteheads"
Cellulitis,"swelling, pain, warm skin"
Appendicitis,"severe abdominal pain, vomiting, fever"
Mumps,"swollen glands, fever, headache, muscle pain, fatigue"
COVID-19,"dry cough, fatigue, loss of smell, shortness of breath"
Brain Tumor,"persistent headache, vision problems, nausea"
Gout,"swelling, joint stiffness, warm joints"
Fungal Infection,"itching, red rash, burning sensation, skin irritation"
Dengue,"high fever, joint pain, nausea"
Pneumonia,"fever, cough, chest pain, fatigue"
Dengue,"high fever, severe headache, muscle pain, rash"
Mumps,"swollen glands, muscle pain, fatigue"
Chickenpox,"rash, loss of appetite, headache"
Bell?s Palsy,"facial weakness, drooping eyelid, loss of facial expression"
COVID-19,"fatigue, loss of smell, shortness of breath"
Pneumonia,"cough, chest pain, chills, fatigue"
Eczema,"itchy skin, red rash, dry skin, skin cracking, skin inflammation"
Pneumonia,"fever, cough, chest pain, shortness of breath, fatigue"
Typhoid,"prolonged fever, abdominal pain, weakness, loss of appetite, headache"
Measles,"rash, cough, runny nose, red eyes"
Meningitis,"stiff neck, headache, confusion"
GERD,"chest discomfort, nausea, regurgitation"
Kidney Stones,"severe abdominal pain, back pain, nausea, blood in urine"
Influenza,"cough, fatigue, sore throat"
Pneumonia,"cough, chills, fatigue"
Common Cold,"sneezing, congestion, headache"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain"
Common Cold,"runny nose, sneezing, congestion, headache"
Hyperthyroidism,"weight loss, anxiety, sweating"
Chickenpox,"rash, fever, fatigue, loss of appetite"
Hepatitis B,"fatigue, abdominal pain, joint pain"
GERD,"heartburn, chest discomfort, sore throat"
Malaria,"chills, sweating, nausea"
Gout,"severe joint pain, swelling, warm joints"
Angina,"chest pain, shortness of breath, pressure in chest"
Pneumonia,"fever, shortness of breath, fatigue"
Cellulitis,"skin redness, swelling, pain, fever"
Influenza,"chills, cough, fatigue, headache"
Hyperthyroidism,"rapid heartbeat, anxiety, sweating"
Pneumonia,"chest pain, shortness of breath, chills"
Pericarditis,"chest pain, weakness, heart palpitations"
Appendicitis,"nausea, fever, loss of appetite"
Asthma,"shortness of breath, chest tightness, cough, fatigue"
Muscle Strain,"muscle pain, swelling, bruising"
Angina,"chest pain, shortness of breath, fatigue, pressure in chest"
Hepatitis C,"fatigue, nausea, abdominal discomfort, jaundice"
Pneumonia,"cough, shortness of breath, chills"
Gastritis,"abdominal pain, nausea, bloating"
Muscle Strain,"muscle pain, swelling, muscle stiffness, bruising"
Vertigo,"dizziness, balance problems, nausea, spinning sensation, head movement sensitivity"
Vitamin D Deficiency,"muscle weakness, bone tenderness, frequent bone fractures"
Multiple Sclerosis,"numbness, weakness, fatigue"
Dengue,"high fever, severe headache, rash"
Bronchitis,"mucus production, fatigue, chest discomfort"
Stroke,"sudden weakness, confusion, trouble speaking, vision problems"
Constipation,"abdominal discomfort, infrequent stools, straining during bowel movements, hard stools"
Influenza,"chills, fatigue, headache"
Irritable Bowel Syndrome,"bloating, diarrhea, constipation"
Measles,"fever, runny nose, red eyes"
Chickenpox,"rash, fever, headache"
Tension Headache,"headache, neck pain, fatigue, pressure around head"
Tuberculosis,"persistent cough, night sweats, fever, fatigue, chest pain"
Hepatitis C,"fatigue, nausea, abdominal discomfort, loss of appetite"
Vitamin B12 Deficiency,"fatigue, numbness, weakness, dizziness"
Hepatitis C,"fatigue, jaundice, loss of appetite"
Fungal Infection,"itching, red rash, skin peeling, burning sensation, skin irritation"
Asthma,"wheezing, chest tightness, fatigue"
Influenza,"fever, fatigue, sore throat"
Mumps,"fever, headache, muscle pain"
Muscle Strain,"muscle pain, limited movement, muscle stiffness"
Atherosclerosis,"chest pain, shortness of breath, fatigue, leg pain during walking, numbness in limbs"
Hepatitis C,"nausea, abdominal discomfort, jaundice"
Vitamin D Deficiency,"fatigue, bone tenderness, frequent bone fractures"
Common Cold,"runny nose, sneezing, headache"
Typhoid,"prolonged fever, abdominal pain, weakness, headache"
Migraine,"headache, vomiting, blurred vision"
Cellulitis,"swelling, pain, warm skin, fever"
Vertigo,"dizziness, balance problems, nausea, spinning sensation"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness, bone tenderness, frequent bone fractures"
Common Cold,"sneezing, sore throat, cough, headache"
Stroke,"confusion, trouble speaking, vision problems"
Hypertension,"headache, chest pain, vision problems"
Obesity,"shortness of breath, joint pain, excessive sweating, snoring"
Hepatitis B,"nausea, jaundice, joint pain"
Angina,"chest pain, shortness of breath, fatigue"
Dengue,"severe headache, joint pain, rash"
Bronchitis,"fatigue, shortness of breath, chest discomfort"
Fungal Infection,"red rash, skin peeling, burning sensation"
Meningitis,"fever, stiff neck, headache"
COVID-19,"dry cough, fatigue, loss of taste, shortness of breath"
Gout,"severe joint pain, swelling, joint stiffness, warm joints"
Epilepsy,"seizures, confusion, temporary staring spells"
Hepatitis B,"fatigue, nausea, abdominal pain, jaundice"
Multiple Sclerosis,"numbness, weakness, vision problems, fatigue"
Diabetes Type 2,"frequent urination, increased thirst, blurred vision"
Gastritis,"abdominal pain, vomiting, loss of appetite"
Tuberculosis,"night sweats, fever, fatigue, chest pain"
Hypothyroidism,"fatigue, weight gain, cold sensitivity, slow heart rate"
Gastritis,"abdominal pain, nausea, vomiting"
Appendicitis,"severe abdominal pain, vomiting, loss of appetite"
Food Poisoning,"vomiting, diarrhea, abdominal cramps, fever"
Acne,"redness, skin inflammation, blackheads"
COVID-19,"fever, dry cough, shortness of breath"
Tuberculosis,"weight loss, night sweats, fever"
Hepatitis A,"fatigue, abdominal pain, loss of appetite, jaundice"
Typhoid,"prolonged fever, weakness, loss of appetite"
Pneumonia,"fever, chest pain, shortness of breath, chills"
Mumps,"swollen glands, headache, fatigue"
Influenza,"chills, fatigue, headache, sore throat"
COPD,"shortness of breath, wheezing, chest tightness"
Bronchitis,"cough, mucus production, fatigue, shortness of breath, chest discomfort"
Multiple Sclerosis,"numbness, weakness, vision problems"
Dengue,"severe headache, rash, nausea"
Osteoporosis,"bone pain, back pain, loss of height, stooped posture"
Hepatitis C,"nausea, jaundice, loss of appetite"
Measles,"rash, cough, runny nose"
COVID-19,"dry cough, fatigue, loss of smell, loss of taste, shortness of breath"
Pneumonia,"fever, shortness of breath, chills"
Malaria,"sweating, headache, nausea"
Heart Attack,"shortness of breath, nausea, sweating, arm pain"
Asthma,"shortness of breath, chest tightness, fatigue"
Bronchitis,"cough, shortness of breath, chest discomfort"
Malaria,"fever, chills, headache, nausea"
Appendicitis,"nausea, vomiting, fever, loss of appetite"
Acne,"redness, whiteheads, blackheads"
Acne,"pimples, redness, blackheads"
Allergic Rhinitis,"runny nose, itchy eyes, nasal congestion"
Bell?s Palsy,"facial weakness, difficulty speaking, drooling"
Rheumatoid Arthritis,"joint pain, swelling, fatigue, stiffness"
COPD,"chronic cough, shortness of breath, wheezing"
Cardiomyopathy,"fatigue, irregular heartbeat, dizziness"
Pneumonia,"fever, cough, chest pain, chills"
Measles,"fever, cough, red eyes"
Migraine,"headache, nausea, vomiting, light sensitivity"
Food Poisoning,"nausea, diarrhea, abdominal cramps, fever"
Pneumonia,"cough, chest pain, shortness of breath"
Dengue,"high fever, severe headache, nausea"
Bronchitis,"cough, mucus production, fatigue"
Asthma,"shortness of breath, chest tightness, cough"
Common Cold,"runny nose, sneezing, congestion"
Allergic Rhinitis,"itchy eyes, nasal congestion, watery eyes"
Cardiomyopathy,"fatigue, shortness of breath, irregular heartbeat, dizziness"
Gastritis,"abdominal pain, nausea, vomiting, loss of appetite"
Pneumonia,"fever, cough, chills"
Fungal Infection,"itching, skin peeling, burning sensation, skin irritation"
Meningitis,"fever, headache, nausea"
Chickenpox,"rash, fatigue, headache"
Heart Attack,"chest pain, nausea, sweating"
Dengue,"high fever, joint pain, rash, nausea"
Pericarditis,"chest pain, fever, weakness, heart palpitations"
Rheumatoid Arthritis,"joint pain, fatigue, stiffness"
Gout,"severe joint pain, redness in joints, joint stiffness"
Heart Attack,"chest pain, shortness of breath, nausea, sweating, arm pain"
Obesity,"fatigue, shortness of breath, snoring"
Hepatitis A,"fatigue, nausea, loss of appetite"
Muscle Strain,"muscle pain, swelling, limited movement, bruising"
Mumps,"swollen glands, fever, headache, fatigue"
Gallstones,"abdominal pain, nausea, vomiting"
Sinusitis,"nasal congestion, runny nose, fever"
Hepatitis A,"fatigue, nausea, abdominal pain, jaundice"
Pancreatitis,"nausea, vomiting, fever"
Tuberculosis,"weight loss, night sweats, fever, chest pain"
Asthma,"wheezing, cough, fatigue"
Parkinson?s Disease,"tremor, rigidity, balance problems"
Pericarditis,"fever, weakness, heart palpitations"
Cardiomyopathy,"shortness of breath, swelling in legs, irregular heartbeat, dizziness"
Pneumonia,"fever, chest pain, shortness of breath, chills, fatigue"
Dengue,"high fever, severe headache, joint pain, nausea"
Malaria,"fever, sweating, headache, nausea"
Cardiomyopathy,"fatigue, shortness of breath, swelling in legs, irregular heartbeat, dizziness"
Cellulitis,"skin redness, pain, warm skin, fever"
Cardiomyopathy,"fatigue, shortness of breath, dizziness"
Fungal Infection,"itching, red rash, skin irritation"
Heart Attack,"shortness of breath, sweating, arm pain"
Tuberculosis,"fever, fatigue, chest pain"
COVID-19,"dry cough, fatigue, loss of smell, loss of taste"
Appendicitis,"severe abdominal pain, nausea, vomiting"
COVID-19,"fever, dry cough, loss of taste"
Muscle Strain,"muscle pain, swelling, limited movement"
Common Cold,"sore throat, cough, congestion, headache"
Vitamin D Deficiency,"bone pain, muscle weakness, bone tenderness"
COPD,"shortness of breath, fatigue, chest tightness"
Acne,"redness, skin inflammation, whiteheads, blackheads"
Food Poisoning,"vomiting, abdominal cramps, fever"
Tuberculosis,"persistent cough, weight loss, night sweats, fatigue"
Epilepsy,"seizures, confusion, loss of awareness, temporary staring spells"
Cellulitis,"skin redness, pain, fever"
Sinusitis,"headache, nasal congestion, runny nose"
Asthma,"wheezing, shortness of breath, fatigue"
Common Cold,"sneezing, cough, headache"
Dengue,"joint pain, muscle pain, nausea"
GERD,"chest discomfort, regurgitation, sore throat"
COVID-19,"dry cough, fatigue, loss of smell"
Common Cold,"sneezing, sore throat, headache"
Constipation,"bloating, infrequent stools, straining during bowel movements, hard stools"
COVID-19,"dry cough, loss of smell, loss of taste, shortness of breath"
Influenza,"chills, muscle pain, sore throat"
Mumps,"fever, headache, muscle pain, fatigue"
Malaria,"fever, chills, headache, nausea, fatigue"
Common Cold,"runny nose, sneezing, sore throat, headache"
Malaria,"fever, sweating, nausea, fatigue"
Food Poisoning,"nausea, vomiting, diarrhea, fever"
