disease,symptoms,,,,,,,
Kidney Stones,"severe abdominal pain,back pain,nausea,blood in urine",severe abdominal pain,back pain,nausea,blood in urine,,,
Kidney Infection,"fever,back pain,nausea,frequent urination",fever,back pain,nausea,frequent urination,,,
Chronic Kidney Disease,"fatigue,swelling in legs,nausea,loss of appetite",fatigue,swelling in legs,nausea,loss of appetite,,,
Arthritis,"joint pain,stiffness,swelling,reduced movement",joint pain,stiffness,swelling,reduced movement,,,
Rheumatoid Arthritis,"joint pain,swelling,fatigue,stiffness",joint pain,swelling,fatigue,stiffness,,,
Constipation,"abdominal discomfort,bloating,infrequent stools,straining during bowel movements,hard stools",abdominal discomfort,bloating,infrequent stools,straining during bowel movements,hard stools,,
Epilepsy,"seizures,confusion,loss of awareness,temporary staring spells,uncontrolled jerking movements",seizures,confusion,loss of awareness,temporary staring spells,uncontrolled jerking movements,,
Vertigo,"dizziness,balance problems,nausea,spinning sensation,head movement sensitivity",dizziness,balance problems,nausea,spinning sensation,head movement sensitivity,,
Bell’s Palsy,"facial weakness,drooping eyelid,difficulty speaking,loss of facial expression,drooling",facial weakness,drooping eyelid,difficulty speaking,loss of facial expression,drooling,,
Angina,"chest pain,shortness of breath,fatigue,chest tightness,pressure in chest",chest pain,shortness of breath,fatigue,chest tightness,pressure in chest,,
Atherosclerosis,"chest pain,shortness of breath,fatigue,leg pain during walking,numbness in limbs",chest pain,shortness of breath,fatigue,leg pain during walking,numbness in limbs,,
Pericarditis,"chest pain,fever,weakness,sharp chest pain when breathing,heart palpitations",chest pain,fever,weakness,sharp chest pain when breathing,heart palpitations,,
Cardiomyopathy,"fatigue,shortness of breath,swelling in legs,irregular heartbeat,dizziness",fatigue,shortness of breath,swelling in legs,irregular heartbeat,dizziness,,
Vitamin D Deficiency,"bone pain,fatigue,muscle weakness,bone tenderness,frequent bone fractures",bone pain,fatigue,muscle weakness,bone tenderness,frequent bone fractures,,
Obesity,"fatigue,shortness of breath,joint pain,excessive sweating,snoring",fatigue,shortness of breath,joint pain,excessive sweating,snoring,,
Urinary Tract Infection,"burning urination,frequent urination,pelvic pain,cloudy urine,strong urine odor",burning urination,frequent urination,pelvic pain,cloudy urine,strong urine odor,,
Nephritis,"swelling in face,high blood pressure,foamy urine,fatigue,decreased urine output",swelling in face,high blood pressure,foamy urine,fatigue,decreased urine output,,
Osteoporosis,"bone pain,fractures,back pain,loss of height,stooped posture",bone pain,fractures,back pain,loss of height,stooped posture,,
Gout,"severe joint pain,swelling,redness in joints,joint stiffness,warm joints",severe joint pain,swelling,redness in joints,joint stiffness,warm joints,,
Muscle Strain,"muscle pain,swelling,limited movement,muscle stiffness,bruising",muscle pain,swelling,limited movement,muscle stiffness,bruising,,
Eczema,"itchy skin,red rash,dry skin,skin cracking,skin inflammation",itchy skin,red rash,dry skin,skin cracking,skin inflammation,,
Psoriasis,"red patches,scaly skin,itching,skin flaking,skin dryness",red patches,scaly skin,itching,skin flaking,skin dryness,,
Acne,"pimples,redness,skin inflammation,whiteheads,blackheads",pimples,redness,skin inflammation,whiteheads,blackheads,,
Fungal Infection,"itching,red rash,skin peeling,burning sensation,skin irritation",itching,red rash,skin peeling,burning sensation,skin irritation,,
Cellulitis,"skin redness,swelling,pain,warm skin,fever",skin redness,swelling,pain,warm skin,fever,,
